Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
The Lightning Thief,Rick Riordan,4.24,1681546,52524,2006,377,Disney Hyperion Books
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.46,5849098,94003,1997,320,Scholastic Inc
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.41,2267965,43326,1999,341,Arthur A. Levine Books / Scholastic Inc.
Wonder,R.J. Palacio,4.45,577657,59596,2012,315,Alfred A. Knopf
The Sea of Monsters,Rick Riordan,4.24,633376,23028,2006,279,Hyperion Books
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.55,2316208,45509,2004,435,Scholastic Inc.
The Titan's Curse,Rick Riordan,4.35,582809,17750,2007,320,Puffin Books
The Battle of the Labyrinth,Rick Riordan,4.39,613725,16262,2008,361,Hyperion Books for Children
The Last Olympian,Rick Riordan,4.51,569812,20025,2009,381,Disney-Hyperion Books
A Wrinkle in Time,Madeleine L'Engle,4.01,868790,31040,2017,218,Square Fish
The Bad Beginning,Lemony Snicket,3.93,343045,15095,1999,176,"Scholastic, Inc."
Harry Potter and the Goblet of Fire,J.K. Rowling,4.55,2168131,38251,2002,734,Scholastic
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.49,2122600,35118,2004,870,Scholastic Inc.
Holes,Louis Sachar,3.95,859469,18226,2000,233,Scholastic
The Giver,Lois Lowry,4.12,1512443,60013,2006,208,Ember
Harry Potter and the Deathly Hallows,J.K. Rowling,4.63,2202522,58728,2007,759,Arthur A. Levine Books / Scholastic Inc.
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.56,2070718,33240,2006,652,Scholastic Inc.
The Graveyard Book,Neil Gaiman,4.13,383743,27833,2008,307,HarperCollins
Coraline,Neil Gaiman,4.05,408705,16989,2006,162,William Morrow Paperbacks
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.21,1864039,18306,2005,206,HarperCollins Publishers
The Girl Who Drank the Moon,Kelly Barnhill,4.19,31430,6405,2016,388,Algonquin Young Readers
The Lost Hero,Rick Riordan,4.35,546758,19403,2010,557,Disney-Hyperion Books
